Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Kvinnor;2017;Januari;1;Vinter;23.0
Kvinnor;2017;Februari;2;Vinter;23.0
Kvinnor;2017;Mars;3;Vår;34.0
Kvinnor;2017;April;4;Vår;41.0
Kvinnor;2017;Maj;5;Vår;24.0
Kvinnor;2017;Juni;6;Sommar;32.0
Kvinnor;2017;Juli;7;Sommar;28.0
Kvinnor;2017;Augusti;8;Sommar;23.0
Kvinnor;2017;September;9;Höst;21.0
Kvinnor;2017;Oktober;10;Höst;28.0
Kvinnor;2017;November;11;Höst;34.0
Kvinnor;2017;December;12;Vinter;32.0
Kvinnor;2018;Januari;1;Vinter;34.0
Kvinnor;2018;Februari;2;Vinter;24.0
Kvinnor;2018;Mars;3;Vår;44.0
Kvinnor;2018;April;4;Vår;26.0
Kvinnor;2018;Maj;5;Vår;25.0
Kvinnor;2018;Juni;6;Sommar;27.0
Kvinnor;2018;Juli;7;Sommar;30.0
Kvinnor;2018;Augusti;8;Sommar;43.0
Kvinnor;2018;September;9;Höst;29.0
Kvinnor;2018;Oktober;10;Höst;27.0
Kvinnor;2018;November;11;Höst;36.0
Kvinnor;2018;December;12;Vinter;31.0
Kvinnor;2019;Januari;1;Vinter;27.0
Kvinnor;2019;Februari;2;Vinter;30.0
Kvinnor;2019;Mars;3;Vår;32.0
Kvinnor;2019;April;4;Vår;36.0
Kvinnor;2019;Maj;5;Vår;28.0
Kvinnor;2019;Juni;6;Sommar;39.0
Kvinnor;2019;Juli;7;Sommar;40.0
Kvinnor;2019;Augusti;8;Sommar;35.0
Kvinnor;2019;September;9;Höst;27.0
Kvinnor;2019;Oktober;10;Höst;31.0
Kvinnor;2019;November;11;Höst;34.0
Kvinnor;2019;December;12;Vinter;34.0
Kvinnor;2020;Januari;1;Vinter;31.0
Kvinnor;2020;Februari;2;Vinter;28.0
Kvinnor;2020;Mars;3;Vår;34.0
Kvinnor;2020;April;4;Vår;26.0
Kvinnor;2020;Maj;5;Vår;27.0
Kvinnor;2020;Juni;6;Sommar;32.0
Kvinnor;2020;Juli;7;Sommar;29.0
Kvinnor;2020;Augusti;8;Sommar;24.0
Kvinnor;2020;September;9;Höst;22.0
Kvinnor;2020;Oktober;10;Höst;29.0
Kvinnor;2020;November;11;Höst;27.0
Kvinnor;2020;December;12;Vinter;18.0
Kvinnor;2021;Januari;1;Vinter;29.0
Kvinnor;2021;Februari;2;Vinter;24.0
Kvinnor;2021;Mars;3;Vår;30.0
Kvinnor;2021;April;4;Vår;31.0
Kvinnor;2021;Maj;5;Vår;25.0
Kvinnor;2021;Juni;6;Sommar;39.0
Kvinnor;2021;Juli;7;Sommar;28.0
Kvinnor;2021;Augusti;8;Sommar;29.0
Kvinnor;2021;September;9;Höst;35.0
Kvinnor;2021;Oktober;10;Höst;22.0
Kvinnor;2021;November;11;Höst;32.0
Kvinnor;2021;December;12;Vinter;28.0
Kvinnor;2022;Januari;1;Vinter;34.0
Kvinnor;2022;Februari;2;Vinter;24.0
Kvinnor;2022;Mars;3;Vår;26.0
Kvinnor;2022;April;4;Vår;32.0
Kvinnor;2022;Maj;5;Vår;28.0
Kvinnor;2022;Juni;6;Sommar;32.0
Kvinnor;2022;Juli;7;Sommar;34.0
Kvinnor;2022;Augusti;8;Sommar;26.0
Kvinnor;2022;September;9;Höst;26.0
Kvinnor;2022;Oktober;10;Höst;33.0
Kvinnor;2022;November;11;Höst;38.0
Kvinnor;2022;December;12;Vinter;28.0
Kvinnor;2023;Januari;1;Vinter;37.0
Kvinnor;2023;Februari;2;Vinter;34.0
Kvinnor;2023;Mars;3;Vår;25.0
Kvinnor;2023;April;4;Vår;30.0
Kvinnor;2023;Maj;5;Vår;39.0
Kvinnor;2023;Juni;6;Sommar;40.0
Kvinnor;2023;Juli;7;Sommar;31.0
Kvinnor;2023;Augusti;8;Sommar;42.0
Kvinnor;2023;September;9;Höst;25.0
Kvinnor;2023;Oktober;10;Höst;23.0
Kvinnor;2023;November;11;Höst;28.0
Kvinnor;2023;December;12;Vinter;28.0
Kvinnor;2024;Januari;1;Vinter;43.0
Kvinnor;2024;Februari;2;Vinter;31.0
Kvinnor;2024;Mars;3;Vår;31.0
Kvinnor;2024;April;4;Vår;34.0
Kvinnor;2024;Maj;5;Vår;31.0
Kvinnor;2024;Juni;6;Sommar;20.0
Kvinnor;2024;Juli;7;Sommar;30.0
Kvinnor;2024;Augusti;8;Sommar;19.0
Kvinnor;2024;September;9;Höst;29.0
Kvinnor;2024;Oktober;10;Höst;29.0
Kvinnor;2024;November;11;Höst;35.0
Kvinnor;2024;December;12;Vinter;34.0
Kvinnor;2025;Januari;1;Vinter;19.0
Kvinnor;2025;Februari;2;Vinter;27.0
Kvinnor;2025;Mars;3;Vår;31.0
Kvinnor;2025;April;4;Vår;24.0
Kvinnor;2025;Maj;5;Vår;15.0
Kvinnor;2025;Juni;6;Sommar;24.0
Kvinnor;2025;Juli;7;Sommar;37.0
Kvinnor;2025;Augusti;8;Sommar;34.0
Kvinnor;2025;September;9;Höst;34.0
Kvinnor;2025;Oktober;10;Höst;28.0
Kvinnor;2025;November;11;Höst;
Kvinnor;2025;December;12;Vinter;
Kvinnor;2026;Januari;1;Vinter;
Kvinnor;2026;Februari;2;Vinter;
Män;1997;Januari;1;Vinter;82.0
Män;1997;Februari;2;Vinter;70.0
Män;1997;Mars;3;Vår;73.0
Män;1997;April;4;Vår;67.0
Män;1997;Maj;5;Vår;74.0
Män;1997;Juni;6;Sommar;75.0
Män;1997;Juli;7;Sommar;72.0
Män;1997;Augusti;8;Sommar;82.0
Män;1997;September;9;Höst;54.0
Män;1997;Oktober;10;Höst;57.0
Män;1997;November;11;Höst;65.0
Män;1997;December;12;Vinter;57.0
Män;1998;Januari;1;Vinter;79.0
Män;1998;Februari;2;Vinter;50.0
Män;1998;Mars;3;Vår;75.0
Män;1998;April;4;Vår;71.0
Män;1998;Maj;5;Vår;96.0
Män;1998;Juni;6;Sommar;68.0
Män;1998;Juli;7;Sommar;78.0
Män;1998;Augusti;8;Sommar;75.0
Män;1998;September;9;Höst;64.0
Män;1998;Oktober;10;Höst;68.0
Män;1998;November;11;Höst;67.0
Män;1998;December;12;Vinter;68.0
Män;1999;Januari;1;Vinter;52.0
Män;1999;Februari;2;Vinter;62.0
Män;1999;Mars;3;Vår;56.0
Män;1999;April;4;Vår;71.0
Män;1999;Maj;5;Vår;65.0
Män;1999;Juni;6;Sommar;88.0
Män;1999;Juli;7;Sommar;72.0
Män;1999;Augusti;8;Sommar;81.0
Män;1999;September;9;Höst;71.0
Män;1999;Oktober;10;Höst;69.0
Män;1999;November;11;Höst;70.0
Män;1999;December;12;Vinter;76.0
Män;2000;Januari;1;Vinter;66.0
Män;2000;Februari;2;Vinter;63.0
Män;2000;Mars;3;Vår;68.0
Män;2000;April;4;Vår;51.0
Män;2000;Maj;5;Vår;72.0
Män;2000;Juni;6;Sommar;67.0
Män;2000;Juli;7;Sommar;59.0
Män;2000;Augusti;8;Sommar;69.0
Män;2000;September;9;Höst;55.0
Män;2000;Oktober;10;Höst;69.0
Män;2000;November;11;Höst;80.0
Män;2000;December;12;Vinter;59.0
Män;2001;Januari;1;Vinter;71.0
Män;2001;Februari;2;Vinter;49.0
Män;2001;Mars;3;Vår;68.0
Män;2001;April;4;Vår;63.0
Män;2001;Maj;5;Vår;87.0
Män;2001;Juni;6;Sommar;69.0
Män;2001;Juli;7;Sommar;74.0
Män;2001;Augusti;8;Sommar;81.0
Män;2001;September;9;Höst;58.0
Män;2001;Oktober;10;Höst;77.0
Män;2001;November;11;Höst;48.0
Män;2001;December;12;Vinter;60.0
Män;2002;Januari;1;Vinter;72.0
Män;2002;Februari;2;Vinter;51.0
Män;2002;Mars;3;Vår;70.0
Män;2002;April;4;Vår;78.0
Män;2002;Maj;5;Vår;77.0
Män;2002;Juni;6;Sommar;63.0
Män;2002;Juli;7;Sommar;76.0
Män;2002;Augusti;8;Sommar;91.0
Män;2002;September;9;Höst;65.0
Män;2002;Oktober;10;Höst;60.0
Män;2002;November;11;Höst;65.0
Män;2002;December;12;Vinter;68.0
Män;2003;Januari;1;Vinter;58.0
Män;2003;Februari;2;Vinter;55.0
Män;2003;Mars;3;Vår;52.0
Män;2003;April;4;Vår;67.0
Män;2003;Maj;5;Vår;84.0
Män;2003;Juni;6;Sommar;66.0
Män;2003;Juli;7;Sommar;67.0
Män;2003;Augusti;8;Sommar;54.0
Män;2003;September;9;Höst;59.0
Män;2003;Oktober;10;Höst;59.0
Män;2003;November;11;Höst;61.0
Män;2003;December;12;Vinter;63.0
Män;2004;Januari;1;Vinter;67.0
Män;2004;Februari;2;Vinter;63.0
Män;2004;Mars;3;Vår;75.0
Män;2004;April;4;Vår;67.0
Män;2004;Maj;5;Vår;62.0
Män;2004;Juni;6;Sommar;74.0
Män;2004;Juli;7;Sommar;66.0
Män;2004;Augusti;8;Sommar;73.0
Män;2004;September;9;Höst;71.0
Män;2004;Oktober;10;Höst;59.0
Män;2004;November;11;Höst;58.0
Män;2004;December;12;Vinter;75.0
Män;2005;Januari;1;Vinter;52.0
Män;2005;Februari;2;Vinter;72.0
Män;2005;Mars;3;Vår;91.0
Män;2005;April;4;Vår;80.0
Män;2005;Maj;5;Vår;51.0
Män;2005;Juni;6;Sommar;65.0
Män;2005;Juli;7;Sommar;72.0
Män;2005;Augusti;8;Sommar;74.0
Män;2005;September;9;Höst;65.0
Män;2005;Oktober;10;Höst;65.0
Män;2005;November;11;Höst;68.0
Män;2005;December;12;Vinter;65.0
Män;2006;Januari;1;Vinter;59.0
Män;2006;Februari;2;Vinter;68.0
Män;2006;Mars;3;Vår;70.0
Män;2006;April;4;Vår;78.0
Män;2006;Maj;5;Vår;66.0
Män;2006;Juni;6;Sommar;55.0
Män;2006;Juli;7;Sommar;80.0
Män;2006;Augusti;8;Sommar;65.0
Män;2006;September;9;Höst;65.0
Män;2006;Oktober;10;Höst;83.0
Män;2006;November;11;Höst;58.0
Män;2006;December;12;Vinter;60.0
Män;2007;Januari;1;Vinter;61.0
Män;2007;Februari;2;Vinter;58.0
Män;2007;Mars;3;Vår;78.0
Män;2007;April;4;Vår;80.0
Män;2007;Maj;5;Vår;68.0
Män;2007;Juni;6;Sommar;74.0
Män;2007;Juli;7;Sommar;77.0
Män;2007;Augusti;8;Sommar;65.0
Män;2007;September;9;Höst;64.0
Män;2007;Oktober;10;Höst;59.0
Män;2007;November;11;Höst;43.0
Män;2007;December;12;Vinter;66.0
Män;2008;Januari;1;Vinter;70.0
Män;2008;Februari;2;Vinter;66.0
Män;2008;Mars;3;Vår;61.0
Män;2008;April;4;Vår;79.0
Män;2008;Maj;5;Vår;81.0
Män;2008;Juni;6;Sommar;65.0
Män;2008;Juli;7;Sommar;74.0
Män;2008;Augusti;8;Sommar;57.0
Män;2008;September;9;Höst;77.0
Män;2008;Oktober;10;Höst;78.0
Män;2008;November;11;Höst;62.0
Män;2008;December;12;Vinter;76.0
Män;2009;Januari;1;Vinter;85.0
Män;2009;Februari;2;Vinter;46.0
Män;2009;Mars;3;Vår;66.0
Män;2009;April;4;Vår;86.0
Män;2009;Maj;5;Vår;85.0
Män;2009;Juni;6;Sommar;91.0
Män;2009;Juli;7;Sommar;71.0
Män;2009;Augusti;8;Sommar;93.0
Män;2009;September;9;Höst;60.0
Män;2009;Oktober;10;Höst;66.0
Män;2009;November;11;Höst;71.0
Män;2009;December;12;Vinter;63.0
Män;2010;Januari;1;Vinter;63.0
Män;2010;Februari;2;Vinter;59.0
Män;2010;Mars;3;Vår;82.0
Män;2010;April;4;Vår;77.0
Män;2010;Maj;5;Vår;66.0
Män;2010;Juni;6;Sommar;91.0
Män;2010;Juli;7;Sommar;73.0
Män;2010;Augusti;8;Sommar;65.0
Män;2010;September;9;Höst;75.0
Män;2010;Oktober;10;Höst;64.0
Män;2010;November;11;Höst;64.0
Män;2010;December;12;Vinter;55.0
Män;2011;Januari;1;Vinter;60.0
Män;2011;Februari;2;Vinter;54.0
Män;2011;Mars;3;Vår;68.0
Män;2011;April;4;Vår;65.0
Män;2011;Maj;5;Vår;72.0
Män;2011;Juni;6;Sommar;66.0
Män;2011;Juli;7;Sommar;65.0
Män;2011;Augusti;8;Sommar;76.0
Män;2011;September;9;Höst;65.0
Män;2011;Oktober;10;Höst;74.0
Män;2011;November;11;Höst;55.0
Män;2011;December;12;Vinter;60.0
Män;2012;Januari;1;Vinter;76.0
Män;2012;Februari;2;Vinter;57.0
Män;2012;Mars;3;Vår;88.0
Män;2012;April;4;Vår;69.0
Män;2012;Maj;5;Vår;65.0
Män;2012;Juni;6;Sommar;66.0
Män;2012;Juli;7;Sommar;63.0
Män;2012;Augusti;8;Sommar;67.0
Män;2012;September;9;Höst;52.0
Män;2012;Oktober;10;Höst;79.0
Män;2012;November;11;Höst;78.0
Män;2012;December;12;Vinter;60.0
Män;2013;Januari;1;Vinter;79.0
Män;2013;Februari;2;Vinter;60.0
Män;2013;Mars;3;Vår;71.0
Män;2013;April;4;Vår;89.0
Män;2013;Maj;5;Vår;75.0
Män;2013;Juni;6;Sommar;85.0
Män;2013;Juli;7;Sommar;73.0
Män;2013;Augusti;8;Sommar;67.0
Män;2013;September;9;Höst;69.0
Män;2013;Oktober;10;Höst;74.0
Män;2013;November;11;Höst;53.0
Män;2013;December;12;Vinter;68.0
Män;2014;Januari;1;Vinter;66.0
Män;2014;Februari;2;Vinter;48.0
Män;2014;Mars;3;Vår;87.0
Män;2014;April;4;Vår;64.0
Män;2014;Maj;5;Vår;63.0
Män;2014;Juni;6;Sommar;56.0
Män;2014;Juli;7;Sommar;77.0
Män;2014;Augusti;8;Sommar;73.0
Män;2014;September;9;Höst;68.0
Män;2014;Oktober;10;Höst;63.0
Män;2014;November;11;Höst;70.0
Män;2014;December;12;Vinter;52.0
Män;2015;Januari;1;Vinter;76.0
Män;2015;Februari;2;Vinter;65.0
Män;2015;Mars;3;Vår;68.0
Män;2015;April;4;Vår;79.0
Män;2015;Maj;5;Vår;81.0
Män;2015;Juni;6;Sommar;66.0
Män;2015;Juli;7;Sommar;66.0
Män;2015;Augusti;8;Sommar;93.0
Män;2015;September;9;Höst;63.0
Män;2015;Oktober;10;Höst;56.0
Män;2015;November;11;Höst;72.0
Män;2015;December;12;Vinter;60.0
Män;2016;Januari;1;Vinter;51.0
Män;2016;Februari;2;Vinter;56.0
Män;2016;Mars;3;Vår;71.0
Män;2016;April;4;Vår;72.0
Män;2016;Maj;5;Vår;75.0
Män;2016;Juni;6;Sommar;58.0
Män;2016;Juli;7;Sommar;64.0
Män;2016;Augusti;8;Sommar;67.0
Män;2016;September;9;Höst;71.0
Män;2016;Oktober;10;Höst;53.0
Män;2016;November;11;Höst;77.0
Män;2016;December;12;Vinter;59.0
Män;2017;Januari;1;Vinter;55.0
Män;2017;Februari;2;Vinter;66.0
Män;2017;Mars;3;Vår;59.0
Män;2017;April;4;Vår;58.0
Män;2017;Maj;5;Vår;78.0
Män;2017;Juni;6;Sommar;69.0
Män;2017;Juli;7;Sommar;73.0
Män;2017;Augusti;8;Sommar;85.0
Män;2017;September;9;Höst;72.0
Män;2017;Oktober;10;Höst;81.0
Män;2017;November;11;Höst;69.0
Män;2017;December;12;Vinter;66.0
Män;2018;Januari;1;Vinter;83.0
Män;2018;Februari;2;Vinter;58.0
Män;2018;Mars;3;Vår;79.0
Män;2018;April;4;Vår;81.0
Män;2018;Maj;5;Vår;98.0
Män;2018;Juni;6;Sommar;62.0
Män;2018;Juli;7;Sommar;67.0
Män;2018;Augusti;8;Sommar;71.0
Män;2018;September;9;Höst;58.0
Män;2018;Oktober;10;Höst;78.0
Män;2018;November;11;Höst;69.0
Män;2018;December;12;Vinter;71.0
Män;2019;Januari;1;Vinter;58.0
Män;2019;Februari;2;Vinter;74.0
Män;2019;Mars;3;Vår;77.0
Män;2019;April;4;Vår;75.0
Män;2019;Maj;5;Vår;76.0
Män;2019;Juni;6;Sommar;67.0
Män;2019;Juli;7;Sommar;68.0
Män;2019;Augusti;8;Sommar;79.0
Män;2019;September;9;Höst;81.0
Män;2019;Oktober;10;Höst;77.0
Män;2019;November;11;Höst;74.0
Män;2019;December;12;Vinter;60.0
Män;2020;Januari;1;Vinter;52.0
Män;2020;Februari;2;Vinter;73.0
Män;2020;Mars;3;Vår;83.0
Män;2020;April;4;Vår;70.0
Män;2020;Maj;5;Vår;86.0
Män;2020;Juni;6;Sommar;72.0
Män;2020;Juli;7;Sommar;63.0
Män;2020;Augusti;8;Sommar;80.0
Män;2020;September;9;Höst;57.0
Män;2020;Oktober;10;Höst;68.0
Män;2020;November;11;Höst;62.0
Män;2020;December;12;Vinter;60.0
Män;2021;Januari;1;Vinter;58.0
Män;2021;Februari;2;Vinter;62.0
Män;2021;Mars;3;Vår;69.0
Män;2021;April;4;Vår;65.0
Män;2021;Maj;5;Vår;80.0
Män;2021;Juni;6;Sommar;83.0
Män;2021;Juli;7;Sommar;72.0
Män;2021;Augusti;8;Sommar;68.0
Män;2021;September;9;Höst;69.0
Män;2021;Oktober;10;Höst;78.0
Män;2021;November;11;Höst;80.0
Män;2021;December;12;Vinter;71.0
Män;2022;Januari;1;Vinter;86.0
Män;2022;Februari;2;Vinter;75.0
Män;2022;Mars;3;Vår;92.0
Män;2022;April;4;Vår;80.0
Män;2022;Maj;5;Vår;70.0
Män;2022;Juni;6;Sommar;64.0
Män;2022;Juli;7;Sommar;70.0
Män;2022;Augusti;8;Sommar;69.0
Män;2022;September;9;Höst;78.0
Män;2022;Oktober;10;Höst;58.0
Män;2022;November;11;Höst;78.0
Män;2022;December;12;Vinter;77.0
Män;2023;Januari;1;Vinter;72.0
Män;2023;Februari;2;Vinter;68.0
Män;2023;Mars;3;Vår;70.0
Män;2023;April;4;Vår;81.0
Män;2023;Maj;5;Vår;91.0
Män;2023;Juni;6;Sommar;87.0
Män;2023;Juli;7;Sommar;73.0
Män;2023;Augusti;8;Sommar;84.0
Män;2023;September;9;Höst;60.0
Män;2023;Oktober;10;Höst;88.0
Män;2023;November;11;Höst;82.0
Män;2023;December;12;Vinter;76.0
Män;2024;Januari;1;Vinter;66.0
Män;2024;Februari;2;Vinter;63.0
Män;2024;Mars;3;Vår;76.0
Män;2024;April;4;Vår;80.0
Män;2024;Maj;5;Vår;88.0
Män;2024;Juni;6;Sommar;65.0
Män;2024;Juli;7;Sommar;72.0
Män;2024;Augusti;8;Sommar;76.0
Män;2024;September;9;Höst;77.0
Män;2024;Oktober;10;Höst;62.0
Män;2024;November;11;Höst;60.0
Män;2024;December;12;Vinter;65.0
Män;2025;Januari;1;Vinter;75.0
Män;2025;Februari;2;Vinter;67.0
Män;2025;Mars;3;Vår;75.0
Män;2025;April;4;Vår;72.0
Män;2025;Maj;5;Vår;75.0
Män;2025;Juni;6;Sommar;53.0
Män;2025;Juli;7;Sommar;80.0
Män;2025;Augusti;8;Sommar;89.0
Män;2025;September;9;Höst;70.0
Män;2025;Oktober;10;Höst;65.0
Män;2025;November;11;Höst;
Män;2025;December;12;Vinter;
Män;2026;Januari;1;Vinter;
Män;2026;Februari;2;Vinter;
