Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Båda könen;2007;Januari;1;Vinter;100.0
Båda könen;2007;Februari;2;Vinter;86.0
Båda könen;2007;Mars;3;Vår;105.0
Båda könen;2007;April;4;Vår;107.0
Båda könen;2007;Maj;5;Vår;99.0
Båda könen;2007;Juni;6;Sommar;90.0
Båda könen;2007;Juli;7;Sommar;104.0
Båda könen;2007;Augusti;8;Sommar;97.0
Båda könen;2007;September;9;Höst;91.0
Båda könen;2007;Oktober;10;Höst;82.0
Båda könen;2007;November;11;Höst;74.0
Båda könen;2007;December;12;Vinter;80.0
Båda könen;2008;Januari;1;Vinter;98.0
Båda könen;2008;Februari;2;Vinter;94.0
Båda könen;2008;Mars;3;Vår;88.0
Båda könen;2008;April;4;Vår;110.0
Båda könen;2008;Maj;5;Vår;117.0
Båda könen;2008;Juni;6;Sommar;83.0
Båda könen;2008;Juli;7;Sommar;100.0
Båda könen;2008;Augusti;8;Sommar;82.0
Båda könen;2008;September;9;Höst;106.0
Båda könen;2008;Oktober;10;Höst;97.0
Båda könen;2008;November;11;Höst;84.0
Båda könen;2008;December;12;Vinter;100.0
Båda könen;2009;Januari;1;Vinter;112.0
Båda könen;2009;Februari;2;Vinter;69.0
Båda könen;2009;Mars;3;Vår;97.0
Båda könen;2009;April;4;Vår;128.0
Båda könen;2009;Maj;5;Vår;124.0
Båda könen;2009;Juni;6;Sommar;122.0
Båda könen;2009;Juli;7;Sommar;104.0
Båda könen;2009;Augusti;8;Sommar;114.0
Båda könen;2009;September;9;Höst;88.0
Båda könen;2009;Oktober;10;Höst;88.0
Båda könen;2009;November;11;Höst;101.0
Båda könen;2009;December;12;Vinter;86.0
Båda könen;2010;Januari;1;Vinter;91.0
Båda könen;2010;Februari;2;Vinter;82.0
Båda könen;2010;Mars;3;Vår;116.0
Båda könen;2010;April;4;Vår;105.0
Båda könen;2010;Maj;5;Vår;90.0
Båda könen;2010;Juni;6;Sommar;113.0
Båda könen;2010;Juli;7;Sommar;97.0
Båda könen;2010;Augusti;8;Sommar;94.0
Båda könen;2010;September;9;Höst;104.0
Båda könen;2010;Oktober;10;Höst;83.0
Båda könen;2010;November;11;Höst;90.0
Båda könen;2010;December;12;Vinter;70.0
Båda könen;2011;Januari;1;Vinter;95.0
Båda könen;2011;Februari;2;Vinter;77.0
Båda könen;2011;Mars;3;Vår;99.0
Båda könen;2011;April;4;Vår;101.0
Båda könen;2011;Maj;5;Vår;91.0
Båda könen;2011;Juni;6;Sommar;92.0
Båda könen;2011;Juli;7;Sommar;99.0
Båda könen;2011;Augusti;8;Sommar;101.0
Båda könen;2011;September;9;Höst;89.0
Båda könen;2011;Oktober;10;Höst;98.0
Båda könen;2011;November;11;Höst;80.0
Båda könen;2011;December;12;Vinter;80.0
Båda könen;2012;Januari;1;Vinter;103.0
Båda könen;2012;Februari;2;Vinter;81.0
Båda könen;2012;Mars;3;Vår;127.0
Båda könen;2012;April;4;Vår;89.0
Båda könen;2012;Maj;5;Vår;90.0
Båda könen;2012;Juni;6;Sommar;95.0
Båda könen;2012;Juli;7;Sommar;88.0
Båda könen;2012;Augusti;8;Sommar;99.0
